country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
USA,1999,1,short,4,0,7942,380,187,245,948,1331,1273,1521,2080,3044,4482,6325,10005,15647,24376,37853,57958,96673,188573,157482,269124,245085,380498,365877,510864
USA,1999,1,short,4,1,174,19,7,6,7,19,65,164,244,314,345,306,292,323,475,658,1030,1665,3138,2691,4295,3965,5826,5980,4456
USA,1999,1,short,4,2,35,35,30,29,47,65,82,126,229,477,980,1798,3365,5636,8645,12440,16430,22230,30610,28811,35273,34311,39727,39206,44380
USA,1999,1,short,4,3,30,7,2,3,4,7,7,11,14,16,22,21,27,37,55,99,158,268,684,514,1124,944,1962,1870,2785
USA,1999,1,short,4,4,74,12,5,6,11,15,22,37,59,97,164,255,421,660,991,1468,2142,3298,5635,4908,7517,6994,9938,9678,12256
USA,1999,1,short,4,5,5,0,1,1,6,11,21,33,62,97,117,112,118,139,162,270,571,1407,4501,3276,7673,6796,11738,11117,17269
USA,1999,1,short,4,6,127,27,14,14,26,31,24,26,39,53,73,112,160,246,450,897,1939,4149,8324,7214,11198,10784,13114,13376,10770
USA,1999,1,short,4,7,143,14,6,9,29,40,65,140,299,606,1111,1887,3133,4914,7689,12012,19055,33582,72432,58344,108933,97224,163179,156237,225076
USA,1999,1,short,4,8,34,3,2,2,4,6,11,20,40,80,135,210,359,607,1033,1990,3789,7470,16404,13587,23705,22151,30903,30246,36766
USA,1999,1,short,4,9,12,0,0,1,2,3,5,10,16,28,45,67,130,245,436,753,1251,2137,4515,3537,7050,6145,11240,10418,18569
USA,1999,1,short,4,10,112,12,3,3,4,6,8,13,23,32,54,69,98,171,320,650,1350,3207,9742,6930,17026,14333,29505,26774,53851
USA,1999,1,short,4,11,88,11,4,9,10,12,14,18,27,48,95,179,446,951,1894,3493,5586,9139,15754,13903,20549,18881,28277,27617,34167
USA,1999,1,short,4,12,168,7,2,4,5,7,16,44,102,225,378,449,546,693,893,1180,1549,2513,4744,3971,6746,6304,8794,8260,13555
USA,1999,1,short,4,13,4,1,1,1,2,3,3,6,10,13,20,27,39,59,92,160,264,455,1032,812,1601,1419,2444,2301,3714
USA,1999,1,short,4,14,51,2,1,1,1,3,6,10,16,27,46,70,122,222,385,707,1308,2551,6041,4735,9424,8306,14606,13849,21354
USA,1999,1,short,4,15,6494,49,11,12,14,14,11,13,14,13,20,20,25,25,24,27,34,60,93,75,140,143,130,123,186
USA,1999,1,short,4,16,392,182,97,144,776,1089,913,851,885,917,877,742,724,718,832,1051,1501,2544,4924,4173,6869,6385,9115,8824,11709
USA,2000,1,short,4,0,7840,361,177,242,930,1369,1300,1480,2063,3053,4542,6357,9821,15255,23574,36755,56703,94196,186943,155171,269883,245810,382557,367910,514873
